53,53,53,53,53,53,53,53,53,53,53,53,36,37,53,53,53,53,53,53,
24,24,24,24,24,24,24,24,24,24,24,24,51,52,24,24,24,24,24,24,
35,35,35,35,35,35,35,62,63,35,35,35,62,63,35,35,35,35,35,35,
53,53,53,53,53,53,53,36,37,53,53,53,36,37,53,53,53,53,53,53,
53,53,53,53,53,53,53,36,37,53,53,53,36,37,53,53,53,53,53,53,
53,53,53,53,53,53,53,36,37,53,53,7,80,37,53,53,53,53,53,53,
53,53,53,53,53,53,53,36,37,53,53,53,36,37,53,53,53,53,53,53,
24,24,24,24,24,24,24,51,52,24,24,24,51,52,24,24,24,24,24,24,
35,79,35,35,35,35,35,62,63,35,79,35,35,35,35,35,35,35,79,35,
53,20,53,53,53,53,53,36,37,53,20,53,53,53,53,53,53,53,20,53,
53,20,53,53,53,53,53,36,37,53,20,53,53,53,53,53,53,53,20,53,
53,18,53,53,53,53,53,36,37,53,14,9,19,53,53,53,53,53,20,53,
53,53,53,53,53,53,53,36,37,53,53,53,53,53,53,53,1,9,13,53,
53,53,53,53,53,53,53,36,37,53,53,53,53,53,53,53,20,53,53,53,
53,53,53,53,53,53,53,36,37,53,53,8,53,53,53,53,20,53,53,53,
53,53,53,53,53,53,53,36,52,24,24,68,24,24,24,24,68,24,24,24,
53,53,53,53,53,53,53,36,63,35,35,35,35,35,35,35,79,35,35,35,
24,24,24,24,24,24,24,51,37,53,53,53,53,53,53,53,20,53,53,53,
35,35,35,35,35,35,35,62,37,53,53,53,1,9,9,9,11,9,9,9,
53,53,53,53,53,53,53,36,37,53,53,53,20,53,53,53,20,53,53,53
