52,52,52,52,52,52,52,52,52,52,52,52,35,36,52,52,52,52,52,52
23,23,23,23,23,23,23,23,23,23,23,23,50,51,23,23,23,23,23,23
34,34,34,34,34,34,34,61,62,34,34,34,61,62,34,34,34,34,34,34
52,52,52,52,52,52,52,35,36,52,52,52,35,36,52,52,52,52,52,52
52,52,52,52,52,52,52,35,36,52,52,52,35,36,52,52,52,52,52,52
52,52,52,52,52,52,52,35,36,52,52,6,79,36,52,52,52,52,52,52
52,52,52,52,52,52,52,35,36,52,52,52,35,36,52,52,52,52,52,52
23,23,23,23,23,23,23,50,51,23,23,23,50,51,23,23,23,23,23,23
34,78,34,34,34,34,34,61,62,34,78,34,34,34,34,34,34,34,78,34
52,19,52,52,52,52,52,35,36,52,19,52,52,52,52,52,52,52,19,52
52,19,52,52,52,52,52,35,36,52,19,52,52,52,52,52,52,52,19,52
52,17,52,52,52,52,52,35,36,52,13,8,18,52,52,52,52,52,19,52
52,52,52,52,52,52,52,35,36,52,52,52,52,52,52,52,0,8,12,52
52,52,52,52,52,52,52,35,36,52,52,52,52,52,52,52,19,52,52,52
52,52,52,52,52,52,52,35,36,52,52,7,52,52,52,52,19,52,52,52
52,52,52,52,52,52,52,35,51,23,23,67,23,23,23,23,67,23,23,23
52,52,52,52,52,52,52,35,62,34,34,34,34,34,34,34,78,34,34,34
23,23,23,23,23,23,23,50,36,52,52,52,52,52,52,52,19,52,52,52
34,34,34,34,34,34,34,61,36,52,52,52,0,8,8,8,10,8,8,8
52,52,52,52,52,52,52,35,36,52,52,52,19,52,52,52,19,52,52,52
